resource_id,network,station,channel,location,phase_time,oneset,polarity,evaluation_mode,evaluation_status,phase_type,azimuth,distance,takeoff_angle,time_residual,time_weight,time_correction
quakeml:nc.anss.org/Arrival/NC/109312324,NC,GGU,EHZ,,2019-06-23T03:53:27.830,impulsive,negative,manual,reviewed,P,156.2,1.545,45.0,-0.2,0.0,-0.78
quakeml:nc.anss.org/Arrival/NC/109312329,BK,SCOT,HHZ,00,2019-06-23T03:53:29.320,impulsive,positive,manual,reviewed,P,43.9,1.566,45.0,0.2,0.0,0.01
quakeml:nc.anss.org/Arrival/NC/109312334,NC,GSN,EHZ,01,2019-06-23T03:53:28.770,impulsive,positive,manual,reviewed,P,147.0,1.583,45.0,-0.2,0.0,-0.37
quakeml:nc.anss.org/Arrival/NC/109312339,NC,KSXB,HHZ,,2019-06-23T03:53:29.180,impulsive,negative,manual,reviewed,P,11.5,1.588,45.0,0.23,0.0,-0.46
quakeml:nc.anss.org/Arrival/NC/109312344,BK,HOPS,HHZ,00,2019-06-23T03:53:28.870,impulsive,negative,manual,reviewed,P,143.1,1.592,45.0,-0.29,0.0,-0.31
quakeml:nc.anss.org/Arrival/NC/109312349,NC,GCK,EHZ,,2019-06-23T03:53:30.310,impulsive,positive,manual,reviewed,P,116.4,1.608,45.0,-0.19,0.0,0.8
quakeml:nc.anss.org/Arrival/NC/109312354,BK,SIGP,HHZ,00,2019-06-23T03:53:29.140,impulsive,negative,manual,reviewed,P,6.2,1.607,45.0,-0.54,0.0,0.0
quakeml:nc.anss.org/Arrival/NC/109312359,NC,GHGB,EHZ,01,2019-06-23T03:53:29.330,impulsive,positive,manual,reviewed,P,134.8,1.615,45.0,-0.46,0.0,0.0
quakeml:nc.anss.org/Arrival/NC/109312364,BK,GALB,HHZ,00,2019-06-23T03:53:28.990,impulsive,negative,manual,reviewed,P,150.0,1.624,45.0,-0.93,0.0,0.0
quakeml:nc.anss.org/Arrival/NC/109312369,NC,LMI,EHZ,,2019-06-23T03:53:30.760,impulsive,positive,manual,reviewed,P,81.0,1.66,45.0,0.27,0.0,0.06
quakeml:nc.anss.org/Arrival/NC/109312374,NC,LTC,EHZ,02,2019-06-23T03:53:31.010,impulsive,positive,manual,reviewed,P,91.5,1.666,45.0,0.26,0.0,0.24
quakeml:nc.anss.org/Arrival/NC/109312379,CE,99144,HNZ,10,2019-06-23T03:53:31.200,emergent,undecidable,manual,reviewed,P,24.2,1.669,45.0,0.64,0.0,0.0
quakeml:nc.anss.org/Arrival/NC/109312384,NC,G004,HNZ,01,2019-06-23T03:53:30.630,emergent,undecidable,manual,reviewed,P,157.0,1.694,45.0,-0.27,0.0,0.0
quakeml:nc.anss.org/Arrival/NC/109312389,CE,69037,HNZ,10,2019-06-23T03:53:30.790,emergent,undecidable,manual,reviewed,P,156.5,1.71,45.0,-0.33,0.0,0.0
quakeml:nc.anss.org/Arrival/NC/109312394,BG,DRH,CNZ,,2019-06-23T03:53:31.710,emergent,undecidable,manual,reviewed,P,143.9,1.784,45.0,-0.46,0.0,0.0
quakeml:nc.anss.org/Arrival/NC/109312399,BG,HBW,DPZ,,2019-06-23T03:53:31.860,emergent,positive,manual,reviewed,P,141.7,1.792,45.0,-0.42,0.0,0.0
quakeml:nc.anss.org/Arrival/NC/109312404,NC,LSH,EHZ,03,2019-06-23T03:53:32.770,impulsive,positive,manual,reviewed,P,72.4,1.8,45.0,0.03,0.0,0.35
quakeml:nc.anss.org/Arrival/NC/109312409,BG,AL1,DPZ,,2019-06-23T03:53:31.880,emergent,positive,manual,reviewed,P,142.3,1.804,45.0,-0.58,0.0,0.0
quakeml:nc.anss.org/Arrival/NC/109312414,BG,RGP,DPZ,,2019-06-23T03:53:31.990,emergent,undecidable,manual,reviewed,P,140.1,1.807,45.0,-0.51,0.0,0.0
quakeml:nc.anss.org/Arrival/NC/109312419,BG,AL5,DPZ,,2019-06-23T03:53:31.890,emergent,positive,manual,reviewed,P,141.9,1.81,45.0,-0.64,0.0,0.0
quakeml:nc.anss.org/Arrival/NC/109312424,NC,GFC,EHZ,,2019-06-23T03:53:32.920,impulsive,positive,manual,reviewed,P,120.9,1.815,45.0,-0.43,0.0,0.73
quakeml:nc.anss.org/Arrival/NC/109312429,BG,AL2,DPZ,,2019-06-23T03:53:31.980,emergent,positive,manual,reviewed,P,143.0,1.815,45.0,-0.63,0.0,0.0
quakeml:nc.anss.org/Arrival/NC/109312434,PB,B039,EHZ,,2019-06-23T03:53:33.100,impulsive,positive,manual,reviewed,P,48.4,1.821,45.0,0.41,0.0,-0.01
quakeml:nc.anss.org/Arrival/NC/109312439,BG,MCL,DPZ,,2019-06-23T03:53:32.110,emergent,positive,manual,reviewed,P,140.8,1.82,45.0,-0.57,0.0,0.0
quakeml:nc.anss.org/Arrival/NC/109312444,BG,AL3,DPZ,,2019-06-23T03:53:32.160,emergent,positive,manual,reviewed,P,142.0,1.825,45.0,-0.59,0.0,0.0
quakeml:nc.anss.org/Arrival/NC/109312449,BG,AL4,DPZ,,2019-06-23T03:53:32.340,emergent,positive,manual,reviewed,P,141.3,1.826,45.0,-0.43,0.0,0.0
quakeml:nc.anss.org/Arrival/NC/109312454,NC,LWH,EHZ,,2019-06-23T03:53:33.050,emergent,positive,manual,reviewed,P,77.6,1.832,45.0,0.12,0.0,0.08
quakeml:nc.anss.org/Arrival/NC/109312459,NC,GRT,EHZ,01,2019-06-23T03:53:32.120,impulsive,negative,manual,reviewed,P,136.2,1.833,45.0,-0.33,0.0,-0.42
quakeml:nc.anss.org/Arrival/NC/109312464,BG,BUC,DPZ,,2019-06-23T03:53:32.440,emergent,positive,manual,reviewed,P,141.6,1.839,45.0,-0.51,0.0,0.0
quakeml:nc.anss.org/Arrival/NC/109312469,NC,LCSB,EHZ,,2019-06-23T03:53:33.950,impulsive,positive,manual,reviewed,P,51.0,1.842,45.0,0.34,0.0,0.62
